1000000022,3.0,267.0,178.0
1000000023,2.5,246.5,197.2
1000000028,3.0,285.5,190.33333333333334
1000000032,3.0,259.5,173.0
1000000033,3.0,272.5,181.66666666666666
1000000036,3.0,322.5,215.0
1000000038,3.0,267.0,178.0
1000000041,3.0,341.5,227.66666666666666
1000000044,3.0,300.5,200.33333333333334
1000000046,3.0,355.5,237.0
1000000048,3.0,339.0,226.0
1000000051,3.0,298.5,199.0
1000000054,3.0,229.5,153.0
1000000064,3.0,260.0,173.33333333333334
1000000066,3.0,349.5,233.0
1000000069,3.0,274.0,182.66666666666666
1000000073,2.0,202.0,202.0
1000000078,2.5,296.0,236.8
1000000079,3.0,298.5,199.0
1000000082,2.5,254.0,203.2
1000000090,3.0,306.0,204.0
1000000092,3.0,254.0,84.66666666666667
1000000094,3.0,313.0,208.66666666666666
1000000097,3.0,324.5,216.33333333333334
